#: table_doi: 10.17182/hepdata.102093.v1/t30
#: name: Contour g_exp_m1 TT_directCC
#: description: 1 $\sigma$ down expected excluded regions at the 95% CL in the ($\tilde{t}_1,\tilde{\chi}^{0}_{1}$)mass plane for the decay channel $\tilde{t}_1 \to c +  \tilde{\chi}^{0}_{1}$ ($\mathcal{B}=100\%$)
#: data_file: contour_g_exp_m1_tt_directcc.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{\tilde{t}_{1}}$ [GeV],$m_{\tilde{\chi}^{0}_{1}}$ [GeV]
456.01,376.01
456.37,376.37
457.6,377.6
459.74,379.74
462.14,382.14
477.19,410.88
485.86,422.83
499.83,449.93
499.87,449.98
500.0,450.14
519.33,476.13
525.09,490.04
530.4,497.26
550.0,519.89
556.8,528.64
560.07,534.03
568.92,545.65
592.62,574.54
600.0,583.21
610.0,594.4
619.29,607.27
650.0,641.48
651.28,643.18
658.14,651.14
300.0,295.0

