#: table_doi: 10.17182/hepdata.102093.v1/t5
#: name: Histogram CR2mu
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the $Z\rightarrow\mu\mu$ control region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_cr2mu.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,105155.0
275.0,250.0,300.0,47931.0
325.0,300.0,350.0,21794.0
375.0,350.0,400.0,10390.0
450.0,400.0,500.0,7822.0
550.0,500.0,600.0,2388.0
650.0,600.0,700.0,774.0
750.0,700.0,800.0,306.0
850.0,800.0,900.0,129.0
950.0,900.0,1000.0,61.0
1050.0,1000.0,1100.0,23.0
1150.0,1100.0,1200.0,9.0
1250.0,1200.0,1300.0,18.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of background events,stat+syst +,stat+syst -
225.0,200.0,250.0,105400.0,327.12,-327.12
275.0,250.0,300.0,48142.0,159.95,-159.95
325.0,300.0,350.0,21677.0,84.55,-84.55
375.0,350.0,400.0,10336.0,43.89,-43.89
450.0,400.0,500.0,7735.5,42.15,-42.15
550.0,500.0,600.0,2317.2,21.62,-21.62
650.0,600.0,700.0,797.9,11.18,-11.18
750.0,700.0,800.0,308.56,6.5,-6.5
850.0,800.0,900.0,127.65,3.9,-3.9
950.0,900.0,1000.0,57.69,2.32,-2.32
1050.0,1000.0,1100.0,27.79,1.49,-1.49
1150.0,1100.0,1200.0,15.08,1.07,-1.07
1250.0,1200.0,1300.0,15.64,1.58,-1.58

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $Z( \rightarrow ll)$+jets events
225.0,200.0,250.0,100100.0
275.0,250.0,300.0,45160.0
325.0,300.0,350.0,20159.0
375.0,350.0,400.0,9531.6
450.0,400.0,500.0,7039.5
550.0,500.0,600.0,2072.3
650.0,600.0,700.0,708.74
750.0,700.0,800.0,269.32
850.0,800.0,900.0,109.78
950.0,900.0,1000.0,48.18
1050.0,1000.0,1100.0,23.27
1150.0,1100.0,1200.0,12.29
1250.0,1200.0,1300.0,12.54

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $Z( \rightarrow \nu \nu / ll)$+jets events
225.0,200.0,250.0,1309.0
275.0,250.0,300.0,814.09
325.0,300.0,350.0,473.44
375.0,350.0,400.0,275.43
450.0,400.0,500.0,260.95
550.0,500.0,600.0,101.08
650.0,600.0,700.0,42.64
750.0,700.0,800.0,20.58
850.0,800.0,900.0,9.52
950.0,900.0,1000.0,5.13
1050.0,1000.0,1100.0,2.74
1150.0,1100.0,1200.0,1.52
1250.0,1200.0,1300.0,1.89

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of top events
225.0,200.0,250.0,2351.3
275.0,250.0,300.0,1146.4
325.0,300.0,350.0,476.04
375.0,350.0,400.0,212.88
450.0,400.0,500.0,156.81
550.0,500.0,600.0,40.5
650.0,600.0,700.0,9.19
750.0,700.0,800.0,2.24
850.0,800.0,900.0,1.57
950.0,900.0,1000.0,0.29
1050.0,1000.0,1100.0,0.0
1150.0,1100.0,1200.0,0.14
1250.0,1200.0,1300.0,0.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of diboson events
225.0,200.0,250.0,1642.2
275.0,250.0,300.0,1021.4
325.0,300.0,350.0,567.7
375.0,350.0,400.0,316.07
450.0,400.0,500.0,278.22
550.0,500.0,600.0,103.31
650.0,600.0,700.0,37.33
750.0,700.0,800.0,16.42
850.0,800.0,900.0,6.79
950.0,900.0,1000.0,4.08
1050.0,1000.0,1100.0,1.78
1150.0,1100.0,1200.0,1.14
1250.0,1200.0,1300.0,1.21

