#: table_doi: 10.17182/hepdata.102093.v1/t27
#: name: Contour g_obs_m1 TT_directCC
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ down observed excluded regions at the 95% CL in the ($\tilde{t}_1,\tilde{\chi}^{0}_{1}$)mass plane for the decay channel $\tilde{t}_1 \to c +  \tilde{\chi}^{0}_{1}$ ($\mathcal{B}=100\%$)
#: data_file: contour_g_obs_m1_tt_directcc.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{\tilde{t}_{1}}$ [GeV],$m_{\tilde{\chi}^{0}_{1}}$ [GeV]
373.45,293.45
374.93,309.97
384.41,334.41
400.0,357.63
410.88,377.82
415.19,386.08
425.21,396.53
450.0,425.35
452.88,429.42
455.19,432.08
466.88,445.36
487.97,471.1
500.0,483.84
508.66,494.21
518.53,506.71
550.0,540.51
553.74,543.52
557.07,548.23
569.27,562.27
300.0,295.0

