#: table_doi: 10.17182/hepdata.102093.v1/t6
#: name: Histogram CR2e
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the $Z\rightarrow ee$ control region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_cr2e.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,71075.0
275.0,250.0,300.0,36162.0
325.0,300.0,350.0,17973.0
375.0,350.0,400.0,9065.0
450.0,400.0,500.0,7278.0
550.0,500.0,600.0,2476.0
650.0,600.0,700.0,834.0
750.0,700.0,800.0,357.0
850.0,800.0,900.0,155.0
950.0,900.0,1000.0,81.0
1050.0,1000.0,1100.0,32.0
1150.0,1100.0,1200.0,21.0
1250.0,1200.0,1300.0,22.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of background events,stat+syst +,stat+syst -
225.0,200.0,250.0,71052.0,265.75,-265.75
275.0,250.0,300.0,36261.0,130.09,-130.09
325.0,300.0,350.0,17767.0,75.24,-75.24
375.0,350.0,400.0,8987.0,48.08,-48.08
450.0,400.0,500.0,7415.1,50.45,-50.45
550.0,500.0,600.0,2429.9,22.84,-22.84
650.0,600.0,700.0,898.52,11.01,-11.01
750.0,700.0,800.0,366.96,5.83,-5.83
850.0,800.0,900.0,162.96,3.41,-3.41
950.0,900.0,1000.0,78.83,2.13,-2.13
1050.0,1000.0,1100.0,37.56,1.28,-1.28
1150.0,1100.0,1200.0,18.9,0.92,-0.92
1250.0,1200.0,1300.0,20.49,0.93,-0.93

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $Z( \rightarrow ll)$+jets events
225.0,200.0,250.0,68218.0
275.0,250.0,300.0,34395.0
325.0,300.0,350.0,16703.0
375.0,350.0,400.0,8374.0
450.0,400.0,500.0,6843.3
550.0,500.0,600.0,2206.9
650.0,600.0,700.0,803.27
750.0,700.0,800.0,321.79
850.0,800.0,900.0,141.27
950.0,900.0,1000.0,67.16
1050.0,1000.0,1100.0,32.19
1150.0,1100.0,1200.0,15.73
1250.0,1200.0,1300.0,16.61

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $Z( \rightarrow \nu \nu / ll)$+jets events
225.0,200.0,250.0,887.29
275.0,250.0,300.0,609.26
325.0,300.0,350.0,377.71
375.0,350.0,400.0,230.82
450.0,400.0,500.0,235.33
550.0,500.0,600.0,99.48
650.0,600.0,700.0,44.42
750.0,700.0,800.0,22.22
850.0,800.0,900.0,11.14
950.0,900.0,1000.0,6.03
1050.0,1000.0,1100.0,3.38
1150.0,1100.0,1200.0,1.94
1250.0,1200.0,1300.0,2.41

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of top events
225.0,200.0,250.0,885.26
275.0,250.0,300.0,516.86
325.0,300.0,350.0,248.53
375.0,350.0,400.0,119.31
450.0,400.0,500.0,87.59
550.0,500.0,600.0,28.65
650.0,600.0,700.0,8.96
750.0,700.0,800.0,4.82
850.0,800.0,900.0,1.87
950.0,900.0,1000.0,1.16
1050.0,1000.0,1100.0,0.14
1150.0,1100.0,1200.0,0.0
1250.0,1200.0,1300.0,0.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of diboson events
225.0,200.0,250.0,1061.5
275.0,250.0,300.0,739.91
325.0,300.0,350.0,437.83
375.0,350.0,400.0,262.77
450.0,400.0,500.0,248.85
550.0,500.0,600.0,94.91
650.0,600.0,700.0,41.87
750.0,700.0,800.0,18.12
850.0,800.0,900.0,8.68
950.0,900.0,1000.0,4.48
1050.0,1000.0,1100.0,1.86
1150.0,1100.0,1200.0,1.23
1250.0,1200.0,1300.0,1.47

